,# Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction,Orthogroup
39329,mpi|P33|200499|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_499,Y (0.746),-,-,Cytoplasmic effector,OG0006189
40602,mpi|P340|1500488|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_488,Y (0.746),-,-,Cytoplasmic effector,OG0006189
42008,mpi|P34|1300491|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_491,Y (0.746),-,-,Cytoplasmic effector,OG0006189
42629,mpi|P35|14004|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_4,Y (0.746),-,-,Cytoplasmic effector,OG0006189
44756,mpi|P36|3100490|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_490,Y (0.74),-,-,Cytoplasmic effector,OG0006189
46340,mpi|P38|400490|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_490,Y (0.746),-,-,Cytoplasmic effector,OG0006189
47169,mpi|P39|2800432|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_432,Y (0.723),-,-,Cytoplasmic effector,OG0006189
49139,mpi|P3|1000504|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_504,Y (0.745),-,-,Cytoplasmic effector,OG0006189
49881,mpi|P40|2800210|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_210,Y (0.744),-,-,Cytoplasmic effector,OG0006189
52145,mpi|P41|17001170|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1170,Y (0.723),-,-,Cytoplasmic effector,OG0006189
53249,mpi|P421|3400492|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_492,Y (0.74),-,-,Cytoplasmic effector,OG0006189
54788,mpi|P42|1700480|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_480,Y (0.746),-,-,Cytoplasmic effector,OG0006189
56378,mpi|P43|30002858|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_2858,Y (0.74),-,-,Cytoplasmic effector,OG0006189
57596,mpi|P44|8001178|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_1178,Y (0.74),-,-,Cytoplasmic effector,OG0006189
58861,mpi|P455|500489|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_489,Y (0.74),-,-,Cytoplasmic effector,OG0006189
59642,mpi|P45|700406|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_406,Y (0.74),-,-,Cytoplasmic effector,OG0006189
61553,mpi|P46|1000511|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_511,Y (0.733),-,-,Cytoplasmic effector,OG0006189
62388,mpi|P47|600478|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_478,Y (0.744),-,-,Cytoplasmic effector,OG0006189
64505,mpi|P48|1200434|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_434,Y (0.723),-,-,Cytoplasmic effector,OG0006189
65164,mpi|P49|300053|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_53,Y (0.743),-,-,Cytoplasmic effector,OG0006189
67383,mpi|P4|100492|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_492,Y (0.746),-,-,Cytoplasmic effector,OG0006189
68726,mpi|P50|1900964|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_964,Y (0.745),-,-,Cytoplasmic effector,OG0006189
69627,mpi|P51|1700291|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_291,Y (0.74),-,-,Cytoplasmic effector,OG0006189
71118,mpi|P52|1000491|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_491,Y (0.723),-,-,Cytoplasmic effector,OG0006189
72534,mpi|P54|3000347|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_347,Y (0.779),-,-,Cytoplasmic effector,OG0006189
73669,mpi|P55|200289|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_289,Y (0.779),-,-,Cytoplasmic effector,OG0006189
75788,mpi|P56|1600347|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_347,Y (0.779),-,-,Cytoplasmic effector,OG0006189
77363,mpi|P57|90025|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_25,Y (0.779),-,-,Cytoplasmic effector,OG0006189
77827,mpi|P58|1400290|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_290,Y (0.779),-,-,Cytoplasmic effector,OG0006189
80386,mpi|P59|28002598|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_2598,Y (0.747),-,-,Cytoplasmic effector,OG0006189
81382,mpi|P5|2300378|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_378,Y (0.746),-,-,Cytoplasmic effector,OG0006189
82452,mpi|P60|3900509|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_509,Y (0.779),-,-,Cytoplasmic effector,OG0006189
83583,mpi|P612|6000111|Fgenesh_Torrubiella_hemipterigena|contig_60_gene_111,Y (0.746),-,-,Cytoplasmic effector,OG0006189
85424,mpi|P61|17001174|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1174,Y (0.74),-,-,Cytoplasmic effector,OG0006189
86769,mpi|P62|1700507|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_507,Y (0.747),-,-,Cytoplasmic effector,OG0006189
87754,mpi|P63|1000482|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_482,Y (0.74),-,-,Cytoplasmic effector,OG0006189
89864,mpi|P64|1300184|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_184,Y (0.571),-,-,Cytoplasmic effector,OG0006189
91046,mpi|P65|3400494|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_494,Y (0.745),-,-,Cytoplasmic effector,OG0006189
92292,mpi|P66|500630|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_630,Y (0.743),-,-,Cytoplasmic effector,OG0006189
93666,mpi|P67|13001215|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1215,Y (0.779),-,-,Cytoplasmic effector,OG0006189
94463,mpi|P68|3100320|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_320,Y (0.746),-,-,Cytoplasmic effector,OG0006189
96068,mpi|P6|100253|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_253,Y (0.747),-,-,Cytoplasmic effector,OG0006189
97540,mpi|P7|3800296|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_296,Y (0.733),-,-,Cytoplasmic effector,OG0006189
98670,mpi|P8|200415|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_415,Y (0.747),-,-,Cytoplasmic effector,OG0006189
100977,mpi|P9|1500370|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_370,Y (0.746),-,-,Cytoplasmic effector,OG0006189
1777,jgi|P117|206803|fgenesh1_pg.53_#_51,-,Y (0.523),-,Apoplastic effector,OG0006202
28023,mpi|P26|900504|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_504,-,Y (0.507),-,Apoplastic effector,OG0006202
34760,mpi|P30|300542|Fgenesh_Torrubiella_hemipterigena|scaffold_3_gene_542,-,Y (0.536),-,Apoplastic effector,OG0006202
1822,jgi|P117|211585|fgenesh1_kg.4_#_302_#_TRINITY_DN9214_c0_g2_i1,-,Y (0.66),-,Apoplastic effector,OG0006206
181,mpi|P10|2600245|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_245,-,Y (0.628),-,Apoplastic effector,OG0006212
2510,jgi|P117|275414|MIX1911_12_38,-,Y (0.638),-,Apoplastic effector,OG0006212
3155,mpi|P11|1200206|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_206,-,Y (0.685),-,Apoplastic effector,OG0006212
4625,mpi|P12|1800223|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_223,-,Y (0.685),-,Apoplastic effector,OG0006212
6321,mpi|P13|2300362|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_362,-,Y (0.685),-,Apoplastic effector,OG0006212
8381,mpi|P143|20002800|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_2800,-,Y (0.675),-,Apoplastic effector,OG0006212
9718,mpi|P14|1500485|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_485,-,Y (0.675),-,Apoplastic effector,OG0006212
11226,mpi|P15|19001927|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_1927,-,Y (0.675),-,Apoplastic effector,OG0006212
12256,jgi|P16|333753|gm1.11203_g,-,Y (0.675),-,Apoplastic effector,OG0006212
13907,mpi|P17|650060|Fgenesh_Torrubiella_hemipterigena|contig_65_gene_60,-,Y (0.673),-,Apoplastic effector,OG0006212
14490,mpi|P18|2100028|Fgenesh_Torrubiella_hemipterigena|contig_210_gene_28,-,Y (0.675),-,Apoplastic effector,OG0006212
16254,mpi|P19|2600370|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_370,-,Y (0.675),-,Apoplastic effector,OG0006212
18047,mpi|P1|600560|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_560,-,Y (0.685),-,Apoplastic effector,OG0006212
19417,mpi|P20|1600569|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_569,-,Y (0.588),-,Apoplastic effector,OG0006212
20578,mpi|P21|2100627|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_627,-,Y (0.678),-,Apoplastic effector,OG0006212
21425,mpi|P22|1700110|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_110,-,Y (0.577),-,Apoplastic effector,OG0006212
23255,mpi|P23|240078|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_78,-,Y (0.582),-,Apoplastic effector,OG0006212
25115,mpi|P24|200645|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_645,-,Y (0.675),-,Apoplastic effector,OG0006212
25584,mpi|P25|710045|Fgenesh_Torrubiella_hemipterigena|contig_71_gene_45,-,Y (0.675),-,Apoplastic effector,OG0006212
28028,mpi|P26|900540|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_540,-,Y (0.623),-,Apoplastic effector,OG0006212
28811,mpi|P27|3000481|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_481,-,Y (0.675),-,Apoplastic effector,OG0006212
30176,mpi|P28|3500529|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_529,-,Y (0.675),-,Apoplastic effector,OG0006212
32427,mpi|P29|45002655|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_2655,-,Y (0.675),-,Apoplastic effector,OG0006212
32799,mpi|P2|1300554|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_554,-,Y (0.588),-,Apoplastic effector,OG0006212
34264,mpi|P30|600250|Fgenesh_Torrubiella_hemipterigena|scaffold_6_gene_250,-,Y (0.651),-,Apoplastic effector,OG0006212
35940,mpi|P31|500307|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_307,-,Y (0.685),-,Apoplastic effector,OG0006212
37049,mpi|P32|200148|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_148,-,Y (0.673),-,Apoplastic effector,OG0006212
39339,mpi|P33|200551|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_551,-,Y (0.673),-,Apoplastic effector,OG0006212
40609,mpi|P340|1500536|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_536,-,Y (0.646),-,Apoplastic effector,OG0006212
42016,mpi|P34|1300540|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_540,-,Y (0.675),-,Apoplastic effector,OG0006212
42852,mpi|P35|900546|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_546,-,Y (0.675),-,Apoplastic effector,OG0006212
44764,mpi|P36|3100538|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_538,-,Y (0.675),-,Apoplastic effector,OG0006212
46348,mpi|P38|400539|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_539,-,Y (0.675),-,Apoplastic effector,OG0006212
47177,mpi|P39|2800480|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_480,-,Y (0.675),-,Apoplastic effector,OG0006212
49147,mpi|P3|1000553|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_553,-,Y (0.685),-,Apoplastic effector,OG0006212
49873,mpi|P40|2800162|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_162,-,Y (0.559),-,Apoplastic effector,OG0006212
52137,mpi|P41|17001121|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1121,-,Y (0.675),-,Apoplastic effector,OG0006212
53258,mpi|P421|3400543|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_543,-,Y (0.675),-,Apoplastic effector,OG0006212
54796,mpi|P42|1700529|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_529,-,Y (0.675),-,Apoplastic effector,OG0006212
56369,mpi|P43|30002807|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_2807,-,Y (0.675),-,Apoplastic effector,OG0006212
57588,mpi|P44|8001130|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_1130,-,Y (0.675),-,Apoplastic effector,OG0006212
58869,mpi|P455|500536|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_536,-,Y (0.675),-,Apoplastic effector,OG0006212
59650,mpi|P45|700454|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_454,-,Y (0.675),-,Apoplastic effector,OG0006212
61563,mpi|P46|1000566|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_566,-,Y (0.588),-,Apoplastic effector,OG0006212
62396,mpi|P47|600527|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_527,-,Y (0.559),-,Apoplastic effector,OG0006212
64513,mpi|P48|1200482|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_482,-,Y (0.675),-,Apoplastic effector,OG0006212
65174,mpi|P49|3000105|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_105,-,Y (0.64),-,Apoplastic effector,OG0006212
67391,mpi|P4|100541|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_541,-,Y (0.675),-,Apoplastic effector,OG0006212
68718,mpi|P50|1900916|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_916,-,Y (0.675),-,Apoplastic effector,OG0006212
69617,mpi|P51|1700238|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_238,-,Y (0.675),-,Apoplastic effector,OG0006212
71126,mpi|P52|1000539|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_539,-,Y (0.675),-,Apoplastic effector,OG0006212
72542,mpi|P54|3000394|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_394,-,Y (0.625),-,Apoplastic effector,OG0006212
73661,mpi|P55|200242|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_242,-,Y (0.675),-,Apoplastic effector,OG0006212
75796,mpi|P56|1600394|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_394,-,Y (0.625),-,Apoplastic effector,OG0006212
77371,mpi|P57|90072|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_72,-,Y (0.611),-,Apoplastic effector,OG0006212
77819,mpi|P58|1400244|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_244,-,Y (0.675),-,Apoplastic effector,OG0006212
80378,mpi|P59|28002549|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_2549,-,Y (0.637),-,Apoplastic effector,OG0006212
81374,mpi|P5|2300330|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_330,-,Y (0.675),-,Apoplastic effector,OG0006212
82460,mpi|P60|3900557|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_557,-,Y (0.675),-,Apoplastic effector,OG0006212
83574,mpi|P612|600059|Fgenesh_Torrubiella_hemipterigena|contig_60_gene_59,-,Y (0.675),-,Apoplastic effector,OG0006212
85416,mpi|P61|17001124|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1124,-,Y (0.675),-,Apoplastic effector,OG0006212
86777,mpi|P62|1700554|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_554,-,Y (0.675),-,Apoplastic effector,OG0006212
87762,mpi|P63|1000529|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_529,-,Y (0.675),-,Apoplastic effector,OG0006212
89135,mpi|P64|2500265|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_265,-,Y (0.562),-,Apoplastic effector,OG0006212
91053,mpi|P65|3400538|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_538,-,Y (0.559),-,Apoplastic effector,OG0006212
92300,mpi|P66|500675|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_675,-,Y (0.675),-,Apoplastic effector,OG0006212
93658,mpi|P67|13001165|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1165,-,Y (0.685),-,Apoplastic effector,OG0006212
94472,mpi|P68|3100370|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_370,-,Y (0.675),-,Apoplastic effector,OG0006212
96058,mpi|P6|100203|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_203,-,Y (0.623),-,Apoplastic effector,OG0006212
97530,mpi|P7|3800242|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_242,-,Y (0.587),-,Apoplastic effector,OG0006212
98662,mpi|P8|200365|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_365,-,Y (0.671),-,Apoplastic effector,OG0006212
100969,mpi|P9|1500325|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_325,-,Y (0.559),-,Apoplastic effector,OG0006212
160,mpi|P10|260019|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_19,-,Y (0.513),-,Apoplastic effector,OG0006340
2718,jgi|P117|34383|CE34382_1346,-,Y (0.523),-,Apoplastic effector,OG0006340
3174,mpi|P11|1200435|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_435,-,Y (0.513),-,Apoplastic effector,OG0006340
4643,mpi|P12|1800455|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_455,-,Y (0.513),-,Apoplastic effector,OG0006340
6302,mpi|P13|2300139|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_139,-,Y (0.513),-,Apoplastic effector,OG0006340
18067,mpi|P1|600788|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_788,-,Y (0.513),-,Apoplastic effector,OG0006340
19436,mpi|P20|1600793|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_793,-,Y (0.533),-,Apoplastic effector,OG0006340
20561,mpi|P21|2100408|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_408,-,Y (0.513),-,Apoplastic effector,OG0006340
21442,mpi|P22|1700333|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_333,-,Y (0.517),-,Apoplastic effector,OG0006340
23431,mpi|P23|1200149|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_149,-,Y (0.516),-,Apoplastic effector,OG0006340
32780,mpi|P2|1300331|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_331,-,Y (0.533),-,Apoplastic effector,OG0006340
34352,mpi|P30|600975|Fgenesh_Torrubiella_hemipterigena|scaffold_6_gene_975,-,Y (0.525),-,Apoplastic effector,OG0006340
35958,mpi|P31|500532|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_532,-,Y (0.513),-,Apoplastic effector,OG0006340
61582,mpi|P46|1000790|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_790,-,Y (0.533),-,Apoplastic effector,OG0006340
72561,mpi|P54|3000620|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_620,-,Y (0.513),-,Apoplastic effector,OG0006340
73643,mpi|P55|20018|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_18,-,Y (0.513),-,Apoplastic effector,OG0006340
75815,mpi|P56|1600620|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_620,-,Y (0.513),-,Apoplastic effector,OG0006340
77389,mpi|P57|900296|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_296,-,Y (0.508),-,Apoplastic effector,OG0006340
77801,mpi|P58|140017|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_17,-,Y (0.511),-,Apoplastic effector,OG0006340
80360,mpi|P59|28002320|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_2320,-,Y (0.513),-,Apoplastic effector,OG0006340
82478,mpi|P60|3900786|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_786,-,Y (0.513),-,Apoplastic effector,OG0006340
86794,mpi|P62|1700780|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_780,-,Y (0.511),-,Apoplastic effector,OG0006340
93639,mpi|P67|1300935|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_935,-,Y (0.513),-,Apoplastic effector,OG0006340
97511,mpi|P7|380019|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_19,-,Y (0.533),-,Apoplastic effector,OG0006340
98645,mpi|P8|200138|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_138,-,Y (0.513),-,Apoplastic effector,OG0006340
484,mpi|P10|290028|Fgenesh_Torrubiella_hemipterigena|contig_29_gene_28,Y (0.744),-,-,Cytoplasmic effector,OG0006490
2365,jgi|P117|265702|estExt_Genemark1.C_40220,Y (0.781),-,-,Cytoplasmic effector,OG0006490
3423,mpi|P11|1300686|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_686,Y (0.752),-,-,Cytoplasmic effector,OG0006490
5704,mpi|P12|15002377|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2377,Y (0.752),-,-,Cytoplasmic effector,OG0006490
6628,mpi|P13|3500674|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_674,Y (0.752),-,-,Cytoplasmic effector,OG0006490
8354,mpi|P143|20002356|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_2356,Y (0.744),-,-,Cytoplasmic effector,OG0006490
9744,mpi|P14|1500932|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_932,Y (0.744),-,-,Cytoplasmic effector,OG0006490
11200,mpi|P15|19001485|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_1485,Y (0.744),-,-,Cytoplasmic effector,OG0006490
11634,jgi|P16|274387|fgenesh1_kg.2_#_511_#_TRINITY_DN1159_c0_g2_i1,Y (0.744),-,-,Cytoplasmic effector,OG0006490
13935,mpi|P17|6500508|Fgenesh_Torrubiella_hemipterigena|contig_65_gene_508,Y (0.744),-,-,Cytoplasmic effector,OG0006490
14626,mpi|P18|8400204|Fgenesh_Torrubiella_hemipterigena|contig_84_gene_204,Y (0.744),-,-,Cytoplasmic effector,OG0006490
16066,mpi|P19|20094|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_94,Y (0.744),-,-,Cytoplasmic effector,OG0006490
18076,mpi|P1|6001024|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1024,Y (0.744),-,-,Cytoplasmic effector,OG0006490
18507,mpi|P20|1130017|Fgenesh_Torrubiella_hemipterigena|contig_113_gene_17,Y (0.744),-,-,Cytoplasmic effector,OG0006490
20552,mpi|P21|2100185|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_185,Y (0.744),-,-,Cytoplasmic effector,OG0006490
22693,mpi|P22|13001854|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1854,Y (0.744),-,-,Cytoplasmic effector,OG0006490
23442,mpi|P23|1200373|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_373,Y (0.777),-,-,Cytoplasmic effector,OG0006490
25142,mpi|P24|2001088|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_1088,Y (0.744),-,-,Cytoplasmic effector,OG0006490
26519,mpi|P25|7400266|Fgenesh_Torrubiella_hemipterigena|contig_74_gene_266,Y (0.744),-,-,Cytoplasmic effector,OG0006490
28057,mpi|P26|900986|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_986,Y (0.744),-,-,Cytoplasmic effector,OG0006490
29312,mpi|P27|3400679|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_679,Y (0.744),-,-,Cytoplasmic effector,OG0006490
30626,mpi|P28|4800678|Fgenesh_Torrubiella_hemipterigena|contig_48_gene_678,Y (0.744),-,-,Cytoplasmic effector,OG0006490
32400,mpi|P29|45002211|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_2211,Y (0.744),-,-,Cytoplasmic effector,OG0006490
32771,mpi|P2|1300101|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_101,Y (0.744),-,-,Cytoplasmic effector,OG0006490
34808,mpi|P30|300880|Fgenesh_Torrubiella_hemipterigena|scaffold_3_gene_880,Y (0.761),-,-,Cytoplasmic effector,OG0006490
35825,mpi|P31|280041|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_41,Y (0.744),-,-,Cytoplasmic effector,OG0006490
37614,mpi|P32|3000922|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_922,Y (0.772),-,-,Cytoplasmic effector,OG0006490
39369,mpi|P33|2001012|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_1012,Y (0.772),-,-,Cytoplasmic effector,OG0006490
40637,mpi|P340|1500983|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_983,Y (0.744),-,-,Cytoplasmic effector,OG0006490
42045,mpi|P34|1300988|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_988,Y (0.744),-,-,Cytoplasmic effector,OG0006490
42823,mpi|P35|90096|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_96,Y (0.744),-,-,Cytoplasmic effector,OG0006490
43953,mpi|P36|39004|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_4,Y (0.744),-,-,Cytoplasmic effector,OG0006490
46376,mpi|P38|400987|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_987,Y (0.744),-,-,Cytoplasmic effector,OG0006490
47270,mpi|P39|300204|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_204,Y (0.744),-,-,Cytoplasmic effector,OG0006490
49175,mpi|P3|10001001|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1001,Y (0.744),-,-,Cytoplasmic effector,OG0006490
49787,mpi|P40|2700498|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_498,Y (0.744),-,-,Cytoplasmic effector,OG0006490
52108,mpi|P41|1700674|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_674,Y (0.744),-,-,Cytoplasmic effector,OG0006490
53283,mpi|P421|3400991|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_991,Y (0.744),-,-,Cytoplasmic effector,OG0006490
54823,mpi|P42|1700972|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_972,Y (0.744),-,-,Cytoplasmic effector,OG0006490
56341,mpi|P43|30002359|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_2359,Y (0.744),-,-,Cytoplasmic effector,OG0006490
57560,mpi|P44|800679|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_679,Y (0.744),-,-,Cytoplasmic effector,OG0006490
58896,mpi|P455|500980|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_980,Y (0.744),-,-,Cytoplasmic effector,OG0006490
59564,mpi|P45|1700487|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_487,Y (0.744),-,-,Cytoplasmic effector,OG0006490
61067,mpi|P46|5700280|Fgenesh_Torrubiella_hemipterigena|contig_57_gene_280,Y (0.744),-,-,Cytoplasmic effector,OG0006490
62956,mpi|P47|1600207|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_207,Y (0.744),-,-,Cytoplasmic effector,OG0006490
64541,mpi|P48|1200934|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_934,Y (0.744),-,-,Cytoplasmic effector,OG0006490
64930,mpi|P49|22004|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_4,Y (0.744),-,-,Cytoplasmic effector,OG0006490
67420,mpi|P4|100987|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_987,Y (0.744),-,-,Cytoplasmic effector,OG0006490
68690,mpi|P50|1900466|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_466,Y (0.744),-,-,Cytoplasmic effector,OG0006490
